id;name;desctxt;armytype;quality;basehp;baseatk;basedef;fighteff
10116;杨修;;2;;;;;
10117;陆逊;;2;;;;;
10118;李严;;1;;;;;
10119;李儒;;2;;;;;
10120;刘琦;;1;;;;;
10121;廖化;;2;;;;;
10122;凌统;;1;;;;;
10123;鲁肃;;3;;;;;
10124;朱桓;;3;;;;;
10125;徐盛;;2;;;;;
10126;邓艾;;1;;;;;
10127;阿哙喃;;1;;;;;
10128;王业;;1;;;;;
10129;王祥;;1;;;;;
10131;王韬;;1;;;;;
10132;金环三结;;3;;;;;
10134;兀突骨;;2;;;;;
10135;王门;;3;;;;;
10136;沙摩柯;;3;;;;;
10137;祝融;;1;;;;;
10138;带来洞主;;2;;;;;
10139;朵思大王;;3;;;;;
10140;乐就;;3;;;;;
10141;吕岱;;2;;;;;
10142;董荼那;;2;;;;;
10143;郭马;;3;;;;;
10144;忙牙长;;3;;;;;
10145;木鹿大王;;1;;;;;
10147;孟优;;1;;;;;
10149;陆抗;;2;;;;;
10151;王粲;;3;;;;;
10152;王平;;2;;;;;
10153;韩当;;2;;;;;
10154;牛金;;2;;;;;
10155;纪灵;;2;;;;;
10156;黄权;;2;;;;;
10157;荀攸;;3;;;;;
10158;辛评;;1;;;;;
10159;孙乾;;3;;;;;
10160;张绣;;3;;;;;
10161;程普;;2;;;;;
10162;糜竺;;3;;;;;
10163;糜芳;;2;;;;;
10164;董允;;1;;;;;
10165;文鸯;;3;;;;;
10166;满宠;;1;;;;;
10167;李典;;3;;;;;
10168;刘晔;;2;;;;;
10169;袁胤;;1;;;;;
10170;阎圃;;2;;;;;
10171;王允;;1;;;;;
10173;阚泽;;3;;;;;
10174;简雍;;3;;;;;
10175;刘循;;1;;;;;
10176;许靖;;3;;;;;
10177;许攸;;2;;;;;
10178;虞翻;;3;;;;;
10179;黄祖;;2;;;;;
10180;吴班;;1;;;;;
10181;顾雍;;1;;;;;
10182;吴兰;;1;;;;;
10183;孙异;;3;;;;;
10184;向宠;;3;;;;;
10185;诸葛瞻;;1;;;;;
10186;辛毗;;1;;;;;
10187;曹昂;;2;;;;;
10188;孙休;;3;;;;;
10189;丁奉;;2;;;;;
10190;邓芝;;3;;;;;
10191;杜预;;1;;;;;
10192;羊祜;;2;;;;;
10193;刘琮;;3;;;;;
10194;刘封;;2;;;;;
10195;华歆;;2;;;;;
10196;贾逵;;1;;;;;
10197;嘤正;;1;;;;;
10198;钟繇;;3;;;;;
10199;陈泰;;1;;;;;
10200;庐植;;2;;;;;
10201;皇甫嵩;;2;;;;;
10202;张翼;;3;;;;;
10203;李恢;;1;;;;;
10204;王基;;2;;;;;
10205;王双;;3;;;;;
10206;郭淮;;3;;;;;
10207;夏侯尚;;3;;;;;
10208;胡奋;;1;;;;;
10209;司马炎;;1;;;;;
10210;孙秀;;3;;;;;
10211;于诠;;1;;;;;
10212;蒋钦;;3;;;;;
10213;张悌;;3;;;;;
10214;孙桓;;2;;;;;
10215;孙翊;;3;;;;;
10216;孙亮;;3;;;;;
10217;张嶷;;1;;;;;
10218;张任;;2;;;;;
10219;赵统;;1;;;;;
10220;陈登;;3;;;;;
10221;陈武;;3;;;;;
10222;董袭;;3;;;;;
10223;马忠;;1;;;;;
10224;潘璋;;1;;;;;
10225;文钦;;3;;;;;
10226;步骘;;1;;;;;
10227;杨仪;;2;;;;;
10228;雷铜;;1;;;;;
10229;李异;;2;;;;;
10230;谭雄;;2;;;;;
10231;滕胤;;3;;;;;
10232;吕凯;;2;;;;;
10233;吕鼓;;1;;;;;
10234;吕旷;;3;;;;;
10235;贾充;;3;;;;;
10236;郭汜;;2;;;;;
10237;刑道荣;;1;;;;;
10238;夏侯威;;2;;;;;
10239;高览;;2;;;;;
10240;胡遵;;2;;;;;
10241;赵广;;1;;;;;
10242;陈震;;1;;;;;
10243;尹默;;3;;;;;
10244;王累;;2;;;;;
10245;夏侯和;;3;;;;;
10246;夏侯惠;;3;;;;;
10247;夏侯玄;;1;;;;;
10248;郭攸之;;3;;;;;
10249;全琮;;2;;;;;
10250;韩嵩;;3;;;;;
10251;荀谌;;2;;;;;
10252;陈兰;;3;;;;;
10254;马邈;;1;;;;;
10255;管亥;;3;;;;;
10256;龚都;;2;;;;;
10257;刘辟;;3;;;;;
10258;裴元绍;;2;;;;;
10259;麴义;;3;;;;;
10260;满宠;;3;;;;;
10261;臧霸;;2;;;;;
10262;陈矫;;3;;;;;
10263;董昭;;2;;;;;
10264;公孙度;;3;;;;;
10265;徐荣;;1;;;;;
10266;李肃;;1;;;;;
10268;高顺;;3;;;;;
10269;张邈;;2;;;;;
10270;谯周;;1;;;;;
10271;黄皓;;2;;;;;
10272;孙皓;;2;;;;;
10273;张休;;3;;;;;
10274;曹熊;;2;;;;;
10275;曹芳;;3;;;;;
10276;曹髦;;1;;;;;
10277;曹奂;;2;;;;;
10279;司马攸;;1;;;;;
10280;韩胤;;2;;;;;
10281;曹豹;;3;;;;;
10282;刘谌;;2;;;;;
10285;诸葛尚;;1;;;;;
10286;孙登;;2;;;;;
10287;孙和;;1;;;;;
10288;陆凯;;3;;;;;
10289;岑昏;;3;;;;;
10290;张允;;1;;;;;
10291;凌操;;3;;;;;
10292;胡车儿;;3;;;;;
10293;淳于琼;;3;;;;;
10294;鲍信;;3;;;;;
10295;陈寿;;3;;;;;
10296;祢衡;;1;;;;;
10297;严白虎;;2;;;;;
10298;诸葛均;;1;;;;;
10300;尹赏;;3;;;;;
10301;尹大目;;3;;;;;
10302;阎宇;;1;;;;;
10303;王经;;2;;;;;
10304;王伉;;3;;;;;
10305;王浑;;2;;;;;
10306;王修;;2;;;;;
10307;王戎;;3;;;;;
10308;王昶;;1;;;;;
10309;王甫;;3;;;;;
10310;郭奕;;3;;;;;
10311;霍峻;;3;;;;;
10312;霍弋;;1;;;;;
10313;夏侯恩;;3;;;;;
10314;夏侯德;;1;;;;;
10315;贾范;;1;;;;;
10316;韩浩;;1;;;;;
10317;韩暹;;1;;;;;
10318;桥蕤;;2;;;;;
10319;桓范;;1;;;;;
10320;乐琳;;2;;;;;
10321;巩志;;2;;;;;
10322;魏续;;2;;;;;
10323;严纲;;3;;;;;
10325;高干;;2;;;;;
10326;丘本;;3;;;;;
10327;高翔;;3;;;;;
10328;侯成;;1;;;;;
10329;公孙越;;2;;;;;
10330;公孙康;;2;;;;;
10331;公孙恭;;1;;;;;
10332;高定;;3;;;;;
10333;高沛;;1;;;;;
10334;胡班;;2;;;;;
10335;吴质;;1;;;;;
10336;蔡和;;1;;;;;
10337;蔡中;;2;;;;;
10338;笮融;;3;;;;;
10339;谢旌;;1;;;;;
10341;朱异;;3;;;;;
10342;周昕;;3;;;;;
10343;周旨;;1;;;;;
10344;州泰;;3;;;;;
10345;周鲂;;1;;;;;
10346;朱然;;1;;;;;
10347;朱治;;3;;;;;
10348;朱灵;;3;;;;;
10349;蒋干;;2;;;;;
10350;蒋义渠;;3;;;;;
10351;蒋济;;2;;;;;
10352;蒋舒;;3;;;;;
10353;向朗;;2;;;;;
10354;诸葛靓;;3;;;;;
10355;司马孚;;3;;;;;
10356;司马望;;3;;;;;
10357;司马朗;;1;;;;;
10358;沈莹;;2;;;;;
10359;申耽;;2;;;;;
10360;秦宓;;1;;;;;
10361;徐质;;1;;;;;
10362;成宜;;1;;;;;
10363;薛综;;2;;;;;
10364;曹宇;;3;;;;;
10365;曹义;;1;;;;;
10366;曹训;;2;;;;;
10367;宋宪;;3;;;;;
10368;曹纯;;2;;;;;
10369;曹性;;3;;;;;
10370;苏飞;;1;;;;;
10371;祖茂;;1;;;;;
10372;孙匡;;3;;;;;
10373;孙歆;;2;;;;;
10374;孙峻;;2;;;;;
10375;孙韶;;3;;;;;
10376;孙静;;3;;;;;
10377;朱褒;;1;;;;;
10378;孙灸;;3;;;;;
10379;孙瑜;;1;;;;;
10380;孙礼;;3;;;;;
10381;孙朗;;1;;;;;
10382;虞汜;;3;;;;;
10383;张卫;;3;;;;;
10384;张燕;;1;;;;;
10385;张英;;3;;;;;
10386;张横;;3;;;;;
10387;张温;;2;;;;;
10388;张贻;;2;;;;;
10390;张虎;;2;;;;;
10391;张既;;3;;;;;
10392;张济;;1;;;;;
10393;张绍;;2;;;;;
10395;张布;;3;;;;;
10396;赵累;;1;;;;;
10397;陈横;;1;;;;;
10398;陈骞;;1;;;;;
10399;陈式;;3;;;;;
10400;陈琳;;2;;;;;
10401;程银;;1;;;;;
10402;程武;;2;;;;;
10403;程秉;;3;;;;;
10404;田续;;3;;;;;
10405;田畴;;1;;;;;
10406;董厥;;3;;;;;
10407;邓贤;;3;;;;;
10408;唐咨;;3;;;;;
10409;董承;;3;;;;;
10410;邓忠;;3;;;;;
10412;杨丑;;2;;;;;
10413;董和;;1;;;;;
10414;何仪;;2;;;;;
10415;樊建;;2;;;;;
10417;樊稠;;3;;;;;
10418;潘凤;;2;;;;;
10419;马玩;;2;;;;;
10420;马休;;3;;;;;
10421;马遵;;1;;;;;
10422;马铁;;3;;;;;
10423;留略;;3;;;;;
10425;卑衍;;3;;;;;
10426;高柔;;1;;;;;
10427;冯习;;2;;;;;
10428;黄崇;;1;;;;;
10429;傅士仁;;1;;;;;
10430;傅佥;;3;;;;;
10431;傅巽;;3;;;;;
10432;傅彤;;3;;;;;
10433;武安国;;2;;;;;
10434;卞喜;;2;;;;;
10435;庞义;;3;;;;;
10436;鲍隆;;2;;;;;
10437;濮阳兴;;3;;;;;
10438;杨怀;;1;;;;;
10439;雍贻;;2;;;;;
10440;杨秋;;3;;;;;
10441;杨松;;3;;;;;
10442;杨祚;;2;;;;;
10443;侯选;;1;;;;;
10444;雷薄;;1;;;;;
10445;骆统;;2;;;;;
10446;刘贤;;1;;;;;
10447;刘岱;;3;;;;;
10448;刘巴;;3;;;;;
10449;吕威璜;;3;;;;;
10450;梁兴;;3;;;;;
10452;吕虔;;1;;;;;
10453;吕翔;;1;;;;;
10454;陆绩;;2;;;;;
10455;李丰;;3;;;;;
10456;伦直;;3;;;;;
10457;申仪;;2;;;;;
10458;杨柏;;1;;;;;
10459;刘虞;;1;;;;;
10460;王威;;3;;;;;
10461;吾粲;;2;;;;;
10462;石苞;;1;;;;;
10463;张南;;3;;;;;
10464;崔琰;;2;;;;;
10465;许贡;;2;;;;;
10466;胡质;;3;;;;;
10468;关彝;;2;;;;;
10469;许仪;;2;;;;;
10470;眭固;;1;;;;;
10471;严舆;;1;;;;;
10472;吾彦;;2;;;;;
10473;吴纲;;3;;;;;
10474;薛莹;;3;;;;;
10475;全掉;;1;;;;;
10476;全端;;3;;;;;
10477;张华;;3;;;;;
10479;马忠;;1;;;;;
10480;鄂焕;;1;;;;;
10481;马均;;2;;;;;
10482;太史享;;3;;;;;
10483;张杨;;3;;;;;
10484;穆顺;;1;;;;;
10485;胡轸;;3;;;;;
10486;顾谭;;1;;;;;
10488;袁遗;;3;;;;;
10489;袁燿;;2;;;;;
10491;阎柔;;1;;;;;
10492;何晏;;1;;;;;
10493;戏志才;;1;;;;;
10494;牛辅;;1;;;;;
10495;吴巨;;2;;;;;
10496;于吉;;1;;;;;
10497;华佗;;2;;;;;
10498;管辂;;1;;;;;
10499;许劭;;1;;;;;
10500;左慈;;1;;;;;
10501;司马徽;;2;;;;;
10502;陈到;;2;;;;;
10503;左奕;;2;;;;;
10504;关统;;2;;;;;
10505;韦昭;;1;;;;;
10506;贺齐;;2;;;;;
10507;魏攸;;2;;;;;
10508;公孙范;;1;;;;;
10509;公孙续;;3;;;;;
10510;单秸;;2;;;;;
10511;徐邈;;1;;;;;
10512;田楷;;1;;;;;
10513;朱据;;3;;;;;
10514;邹靖;;1;;;;;
10515;典满;;3;;;;;
10516;庞会;;3;;;;;
10517;杨弘;;2;;;;;
10518;阎象;;3;;;;;
10519;王匡;;2;;;;;
10520;张角;;1;;;;;
10521;张宝;;1;;;;;
10522;张梁;;1;;;;;
10523;程志远;;2;;;;;
10524;韩忠;;2;;;;;
10526;孙仲;;1;;;;;
10527;赵弘;;1;;;;;
10528;邓茂;;3;;;;;
10529;严政;;3;;;;;
10530;何进;;3;;;;;
10532;丁原;;1;;;;;
10535;焦彝;;1;;;;;
10536;钟毓;;1;;;;;
10538;孙尚香;;3;;;;;
10539;蒋班;;1;;;;;
10541;俞涉;;2;;;;;
10542;方悦;;2;;;;;
10543;王忠;;3;;;;;
10545;冷苞;;1;;;;;
10546;杨任;;2;;;;;
10547;杨昂;;3;;;;;
10548;费耀;;1;;;;;
10549;吕据;;3;;;;;
10550;辛敞;;1;;;;;
10551;邹丹;;2;;;;;
10552;盛曼;;2;;;;;
10553;张球;;2;;;;;
10554;田豫;;3;;;;;
10555;刘劭;;2;;;;;
10556;张承;;3;;;;;
10557;留赞;;2;;;;;
10558;全怿;;2;;;;;
10560;戴陵;;2;;;;;
10561;曹冲;;2;;;;;
10562;沮鹄;;3;;;;;
10563;灵帝;;3;;;;;
10564;少帝;;1;;;;;
10565;献帝;;2;;;;;
10566;貂蝉;;2;;;;;
10567;大乔;;2;;;;;
10568;小乔;;2;;;;;
10569;蔡琰;;2;;;;;
10570;苏由;;3;;;;;
10572;孙震;;3;;;;;
10579;陈纪;;2;;;;;
10582;陈表;;1;;;;;
10583;丁仪;;3;;;;;
10588;董朝;;1;;;;;
10590;甯随;;2;;;;;
10594;文虎;;1;;;;;
10595;宋谦;;3;;;;;
10596;贾华;;2;;;;;
10597;陈应;;3;;;;;
10600;王肃;;1;;;;;
10601;牵弘;;1;;;;;
10602;伍延;;2;;;;;
10603;胡济;;1;;;;;
10605;师篡;;1;;;;;
10606;司马七;;2;;;;;
10607;诸葛绪;;3;;;;;
10608;蒋斌;;3;;;;;
10609;孙冀;;2;;;;;
10611;丁封;;2;;;;;
10612;党均;;2;;;;;
10613;裴秀;;1;;;;;
10614;杨欣;;3;;;;;
10616;留平;;2;;;;;
10617;楼玄;;3;;;;;
10619;何植;;1;;;;;
10621;魏邈;;3;;;;;
10622;丘建;;3;;;;;
10625;胡烈;;1;;;;;
10626;施朔;;3;;;;;
10629;邵悌;;2;;;;;
10630;张缉;;3;;;;;
10631;张遵;;1;;;;;
10632;张特;;2;;;;;
10634;唐彬;;3;;;;;
10636;韩德;;1;;;;;
10637;傅嘏;;3;;;;;
10639;步协;;1;;;;;
10640;秦朗;;3;;;;;
10641;步阐;;3;;;;;
10643;孟宗;;3;;;;;
10644;李胜;;3;;;;;
10645;梁绪;;2;;;;;
10646;关靖;;2;;;;;
10647;杨济;;2;;;;;
10648;全纪;;2;;;;;
10649;全尚;;1;;;;;
10651;杨阜;;3;;;;;
10652;李丰;;1;;;;;
10653;刘丞;;2;;;;;
10654;杨肇;;3;;;;;
10655;罗宪;;1;;;;;
10657;李堪;;3;;;;;
10658;李通;;3;;;;;
10663;鲁淑;;3;;;;;
10665;黄月英;;1;;;;;
10686;阎行;;1;;;;;
10687;区星;;1;;;;;
10689;温恢;;1;;;;;
10691;郝萌;;1;;;;;
10693;桓阶;;1;;;;;
10694;韩莒子;;2;;;;;
10697;金掉;;1;;;;;
10699;国渊;;3;;;;;
10706;周昂;;1;;;;;
10707;钟离牧;;1;;;;;
10708;诸葛乔;;1;;;;;
10709;眭元进;;3;;;;;
10710;成公英;;1;;;;;
10711;孙皎;;1;;;;;
10712;吴景;;2;;;;;
10713;张曼成;;2;;;;;
10715;波才;;2;;;;;
10716;廖立;;3;;;;;
10717;樊能;;1;;;;;
10719;费诗;;2;;;;;
10722;杨锋;;1;;;;;
10723;李丰;;3;;;;;
10724;刘磐;;1;;;;;
10726;刘馥;;2;;;;;
10727;梁纲;;1;;;;;
10728;梁习;;3;;;;;
10729;娄圭;;3;;;;;
10731;桥玄;;2;;;;;
10732;甄氏;;3;;;;;
10733;邹氏;;1;;;;;
10734;樊氏;;1;;;;;
10736;吴国太;;2;;;;;
10737;张让;;1;;;;;
10769;糜氏;;3;;;;;
10770;黄承彦;;3;;;;;
10771;蹇硕;;1;;;;;
10772;徐氏;;2;;;;;
10773;卞氏;;1;;;;;
10774;刘氏;;3;;;;;
10775;蔡氏;;1;;;;;
10776;张春华;;2;;;;;
10777;王异;;2;;;;;
10778;孙氏;;1;;;;;
10779;孙鲁班;;2;;;;;
10780;夏侯令女;;1;;;;;
10781;辛宪英;;2;;;;;
10782;鲍三娘;;3;;;;;
10783;花粑;;2;;;;;
10784;马云蚴;;1;;;;;
10785;吕玲绮;;3;;;;;
10786;袁涣;;1;;;;;
10787;郭援;;1;;;;;
10788;魏讽;;3;;;;;
10789;季雍;;3;;;;;
10790;牵招;;3;;;;;
10791;高堂隆;;2;;;;;
10792;崔林;;1;;;;;
10793;焦触;;3;;;;;
10794;孙观;;3;;;;;
10795;张南;;3;;;;;
10796;杜畿;;1;;;;;
10797;李孚;;2;;;;;
10798;刘和;;1;;;;;
10802;孔丘;;2;;;;;
10803;孙膑;;3;;;;;
10804;张仪;;2;;;;;
10805;乐毅;;3;;;;;
10806;蔺相如;;3;;;;;
10807;白起;;1;;;;;
10808;赢政;;2;;;;;
10809;李斯;;1;;;;;
10810;王翦;;1;;;;;
10811;蒙恬;;3;;;;;
10812;项籍;;2;;;;;
10813;范增;;1;;;;;
10814;英布;;2;;;;;
10815;刘邦;;3;;;;;
10816;张良;;3;;;;;
10817;韩信;;3;;;;;
10818;彭越;;2;;;;;
10819;霍去病;;3;;;;;
10820;杨大眼;;2;;;;;
10821;陈庆之;;1;;;;;
10822;高长恭;;3;;;;;
10824;秦琼;;3;;;;;
10825;尉迟恭;;3;;;;;
10826;岳飞;;1;;;;;
10827;秦良玉;;2;;;;;
10828;郑成功;;1;;;;;
10829;管夷吾;;1;;;;;
10830;鲍叔牙;;3;;;;;
10831;吕尚;;1;;;;;
10832;吴起;;3;;;;;
10833;萧何;;2;;;;;
11001;张飞;;3;;;;;
11002;关羽;;1;;;;;
11003;吕布;;1;;;;;
11004;马超;;3;;;;;
11009;赵云;;3;;;;;
11014;张辽;;1;;;;;
11017;甘宁;;3;;;;;
11023;黄忠;;1;;;;;
11025;张嗔;;3;;;;;
11030;吕蒙;;2;;;;;
11036;刘备;;1;;;;;
11037;徐晃;;1;;;;;
11045;诸葛亮;;3;;;;;
11049;司马懿;;3;;;;;
11060;曹操;;3;;;;;
11063;孙策;;1;;;;;
11064;孙权;;1;;;;;
11084;姜维;;1;;;;;
11091;周瑜;;2;;;;;
11117;陆逊;;3;;;;;
11126;邓艾;;1;;;;;
11538;孙尚香;;3;;;;;
11566;貂蝉;;2;;;;;
